accuracy,loss,val_accuracy,val_loss,learning_rate
0.7473725080490112,0.969280481338501,0.8600000143051147,0.5474510788917542,0.0010000000474974513
0.8804982304573059,0.34246137738227844,0.8781818151473999,0.43634727597236633,0.0010000000474974513
0.9112495183944702,0.24730166792869568,0.8909090757369995,0.3954344093799591,0.0010000000474974513
0.9311016201972961,0.1865920126438141,0.8909090757369995,0.4382021427154541,0.0010000000474974513
0.9560140371322632,0.13749709725379944,0.8872727155685425,0.41036808490753174,0.0010000000474974513
0.9758660793304443,0.0800473764538765,0.8963636159896851,0.38458964228630066,0.0005000000237487257
0.9785909056663513,0.06484454870223999,0.9090909361839294,0.39263099431991577,0.0005000000237487257
0.982872724533081,0.053539980202913284,0.9036363363265991,0.38511407375335693,0.0005000000237487257
0.9887115359306335,0.03812055289745331,0.9090909361839294,0.3689540922641754,0.0002500000118743628
0.9922148585319519,0.03507049381732941,0.9054545164108276,0.39031264185905457,0.0002500000118743628
0.9910470843315125,0.03407839313149452,0.910909116268158,0.40335023403167725,0.0002500000118743628
0.9949396848678589,0.027535557746887207,0.9127272963523865,0.40631338953971863,0.0001250000059371814
0.9961074590682983,0.022987259551882744,0.9036363363265991,0.40865471959114075,0.0001250000059371814
0.9945504069328308,0.023821339011192322,0.9090909361839294,0.3947744369506836,6.25000029685907e-05
